Rocket,Active,Country,LEO Payload,GTO payload,TLI/Mars payload,Liftoff Height,Liftoff Mass,Successful flights,Total flights,First launch,Last launch,Class,Carried Crews
Delta IV M,RETIRED,United States,"8,510","4,440",,63,"249,500",3,3,"11 Mar, 2003","4 Nov, 2006",MLV,FALSE
Delta II 7000H,RETIRED,United States,"6,100","2,170",,39,"231,870",6,6,"8 Jul, 2003","10 Sep, 2011",MLV,FALSE
Atlas V 521,ACTIVE,United States,"13,500","6,480",,58.3,"450,183",2,2,"17 Jul, 2003","17 Dec, 2004",MLV,FALSE
Strela,RETIRED,Russia,"1,400",,,28.3,105000,3,3,"5 Dec, 2003","19 Dec, 2014",SLV,FALSE
Ariane 5 G+,RETIRED,Europe,"16,000","6,950",,46,"737,000",3,3,"2 Mar, 2004","18 Dec, 2004",MLV,FALSE
SpaceShipOne,RETIRED,United States,,,,,3600,3,3,"21 Jun, 2004","4 Oct, 2004",---,TRUE
Delta IV Heavy,ACTIVE,United States,"28,790","14,220",,72,"733,000",10,11,"21 Dec, 2004","1 Jan, 1919",HLV,FALSE
H-IIA 2022,RETIRED,Japan,"11,000","4,500",,53,"316,000",3,3,"26 Feb, 2005","14 Sep, 2007",MLV,FALSE
Atlas V 431,ACTIVE,United States,"15,260","7,700",,58.3,"496,880",3,3,"11 Mar, 2005","18 Dec, 2016",MLV,FALSE
Ariane 5 GS,RETIRED,Europe,"16,000","6,100",,46,"737,000",6,6,"11 Aug, 2005","18 Dec, 2009",MLV,FALSE
Atlas V 551,ACTIVE,United States,"18,850","8,900",,58.3,"590,274",11,11,"19 Jan, 2006","26 Mar, 2020",MLV,FALSE
Falcon 1,RETIRED,United States,470,,,21.3,"27,670",2,5,"24 Mar, 2006","14 Jul, 2009",SLV,FALSE
Atlas V 411,ACTIVE,United States,"12,030","5,950",,58.3,"403,486",6,6,"20 Apr, 2006","10 Feb, 2020",MLV,FALSE
Long March 4C,ACTIVE,China,"4,200","1,500",,45.8,"250,000",26,28,"26 Apr, 2006","27 Nov, 2019",MLV,FALSE
Soyuz-2.1a,ACTIVE,Russia,"7,020","2,810",,46.3,312000,43,46,"19 Oct, 2006","23 Jul, 2020",MLV,TRUE
H-IIA 204,ACTIVE,Japan,"15,000","6,000",,53,"445,000",4,4,"18 Dec, 2006","19 Aug, 2017",MLV,FALSE
Soyuz-2.1b,ACTIVE,Russia,"8,200","3,250",,46.3,312000,50,53,"27 Dec, 2006","22 May, 2020",MLV,FALSE
PSLV-CA,ACTIVE,India,"2,300",700,,44,"230,000",14,14,"23 Apr, 2007","22 May, 2019",MLV,FALSE
Long March 3B/E,ACTIVE,China,"11,500","5,500",,56.3,"458,970",55,57,"13 May, 2007","9 Jul, 2020",MLV,FALSE
Zenit-2M / 2SLB,RETIRED,Ukraine,"12,030",,,57.35,458900,2,2,"29 Jun, 2007","7 Nov, 2011",MLV,FALSE
Atlas V 421,ACTIVE,United States,"13,600","6,890",,58.3,"450,183",7,7,"11 Oct, 2007","15 Oct, 2017",MLV,FALSE
Ariane 5 ES,RETIRED,Europe,"20,000","10,800",,52,"777,000",8,8,"9 Mar, 2008","25 Jul, 2018",HLV,FALSE
Long March 2C,ACTIVE,China,"1,900","1,250",,42,"233,000",52,53,"25 Apr, 2008","17 May, 2019",SLV,FALSE
Long March 3C,ACTIVE,China,"3,850","1,250",,54.8,"345,000",17,17,"25 Apr, 2008","17 May, 2019",MLV,FALSE
Zenit-3SLB / 3M,RETIRED,Ukraine,,"3,750",,59.6,471000,6,6,"28 Apr, 2008","31 Aug, 2013",---,FALSE
Safir,ACTIVE,Iran,65,,,22,26000,4,8,"16 Aug, 2008","19 Apr, 2016",SLV,FALSE
PSLV-XL,ACTIVE,India,"3,800","1,200",,44,"320,000",21,22,"22 Oct, 2008","27 Nov, 2019",MLV,FALSE
Unha,ACTIVE,North Korea,200,,,28,86750,2,4,"5 Apr, 2009","7 Feb, 2016",SLV,FALSE
Naro-1,RETIRED,South Korea,100,,,33,"140,000",1,3,"25 Aug, 2009","30 Jan, 2013",SLV,FALSE
H-IIB,RETIRED,Japan,"16,500","8,000",,56.6,"531,000",9,9,"10 Sep, 2009","20 May, 2020",MLV,FALSE
"Delta IV M+(5,4)",RETIRED,United States,"13,600","6,120",,77.2,"404,600",8,8,"6 Dec, 2009","16 Mar, 2019",MLV,FALSE
GSLV Mk 2,ACTIVE,India,"5,000","2,700",,49.13,"414,750",6,7,"15 Apr, 2010","19 Dec, 2018",MLV,FALSE
Atlas V 501,ACTIVE,United States,"8,210","3,780",,58.3,"356,789",7,7,"22 Apr, 2010","17 May, 2020",MLV,FALSE
Minotaur IV,RETIRED,United States,"1,735",,,23.88,"86,300",7,7,"22 Apr, 2010","15 Jul, 2020",SLV,FALSE
Falcon 9 v1.0,RETIRED,United States,"10,450","4,540",,54.9,"333,400",5,5,"4 Jun, 2010","1 Mar, 2013",MLV,FALSE
Atlas V 531,ACTIVE,United States,"15,530","7,450",,58.3,"496,880",3,3,"14 Aug, 2010","18 Sep, 2013",MLV,FALSE
Zenit-3F,RETIRED,Ukraine,,"4,000","1,740",59.6,471000,4,4,"20 Jan, 2011","26 Dec, 2017",---,FALSE
Soyuz ST-B,ACTIVE,Russia,"7,020","2,810",,46.3,312000,15,16,"21 Oct, 2011","4 Apr, 2019",MLV,FALSE
Atlas V 541,ACTIVE,United States,"17,410","8,290",,58.3,"543,577",7,7,"26 Nov, 2011","30 Jul, 2020",MLV,FALSE
Soyuz ST-A,ACTIVE,Russia,"7,020","2,810",,46.3,312000,6,6,"17 Dec, 2011","18 Dec, 2019",MLV,FALSE
Vega,ACTIVE,Europe,"1,500",,,30,137000,14,15,"13 Feb, 2012","3 Sep, 2020",SLV,FALSE
"Delta IV M+(5,2)",RETIRED,United States,"10,300","5,490",,77.2,"292,732",3,3,"3 Apr, 2012","12 Jan, 2018",MLV,FALSE
Antares 110,RETIRED,United States,"8,000","1,500",,40.5,"282,000",2,2,"21 Apr, 2013","18 Sep, 2013",MLV,FALSE
Minotaur V,RETIRED,United States,,532,,24.55,"89,373",1,1,"7 Sep, 2013","7 Sep, 2013",---,FALSE
Epsilon,ACTIVE,Japan,"1,500",700,,26,"95,400",4,4,"14 Sep, 2013","18 Jan, 2019",SLV,FALSE
Kuaizhou 1/1A,RETIRED,China,300,250,,13.6,"20,000",11,11,"23 Sep, 2013","12 May, 2020",SLV,FALSE
Falcon 9 v1.1,RETIRED,United States,"13,150","4,850",,68.4,"505,846",14,15,"29 Sep, 2013","17 Jan, 2016",MLV,FALSE
Antares 120,RETIRED,United States,"8,000","1,500",,40.5,"282,000",2,2,"9 Jan, 2014","13 Jul, 2014",MLV,FALSE
Angara 1.2,ACTIVE,Russia,"3,800","1,430",,42.7,"171,500",1,1,"9 Jul, 2014","9 Jul, 2014",MLV,FALSE
Angara A5,ACTIVE,Russia,"24,500","7,500",,64,"790,000",1,1,"23 Jul, 2014","23 Jul, 2014",HLV,FALSE
Antares 130,RETIRED,United States,"8,000","1,500",,41.9,"296,000",0,1,"28 Oct, 2014","28 Oct, 2014",MLV,FALSE
Long March 6,ACTIVE,China,,"1,080",,29,"10,300",3,3,"19 Sep, 2015","13 Nov, 2019",---,FALSE
Long March 11,ACTIVE,China,700,500,,20.8,"58,000",9,9,"25 Sep, 2015","29 May, 2020",SLV,FALSE
Falcon 9 FT,ACTIVE,United States,"22,800","8,300",,70,"549,054",74,74,"22 Dec, 2015","3 Sep, 2020",HLV,TRUE
Simorgh,ACTIVE,Iran,150,,,27,87000,1,4,"19 Apr, 2016","9 Feb, 2020",SLV,FALSE
Long March 7,ACTIVE,China,"13,500","5,500",,53.1,"597,000",2,2,"25 Jun, 2016","20 Apr, 2017",MLV,FALSE
Antares 230,RETIRED,United States,"8,000","3,000",,42.5,"298,000",5,5,"17 Oct, 2016","17 Apr, 2019",MLV,FALSE
Long March 5,ACTIVE,China,"25,000","14,400",,56.7,"878,556",3,4,"3 Nov, 2016","23 Jul, 2020",HLV,FALSE
Kaituozhe-2,RETIRED,China,800,,,13.6,"20,000",1,1,"2 Mar, 2017","2 Mar, 2017",SLV,FALSE
Vector-R,RETIRED,United States,60,,,12,5000,2,2,"3 May, 2017","2 Aug, 2017",SLV,FALSE
Electron,ACTIVE,New Zealand,225,150,,17,"12,500",11,13,"25 May, 2017","31 Aug, 2020",SLV,FALSE
GSLV Mk 3,ACTIVE,India,"10,000","4,000",,43.4,"640,000",4,4,"5 Jun, 2017","22 Jul, 2019",MLV,FALSE
Falcon Heavy,ACTIVE,United States,"63,800","26,700","16,800",70,"1,420,788",3,3,"6 Feb, 2018","25 Jun, 2019",SHLV,FALSE
Zhuque-1,ACTIVE,China,300,220,,19,27000,1,1,"27 Oct, 2018","27 Oct, 2018",SLV,FALSE
PSLV-DL,ACTIVE,India,"3,800","1,200",,44,"320,000",1,1,"24 Jan, 2019","24 Jan, 2019",MLV,FALSE
OS-M1,ACTIVE,China,205,73,,19,"21,000",1,1,"27 Mar, 2019","27 Mar, 2019",SLV,FALSE
PSLV-QL,ACTIVE,India,"3,800","1,200",,44,"320,000",2,2,"1 Apr, 2019","11 Dec, 2019",MLV,FALSE
Hyperbola-1,ACTIVE,China,300,,,20.8,"31,000",1,1,"25 Jul, 2019","25 Jul, 2019",SLV,FALSE
Jielong-1,ACTIVE,China,200,150,,19.5,"23,100",1,1,"17 Aug, 2019","17 Aug, 2019",SLV,FALSE
Antares 230+,ACTIVE,United States,"8,000","3,000",,42.5,"298,000",2,2,"2 Nov, 2019","15 Feb, 2020",MLV,FALSE
Atlas V N22,ACTIVE,United States,"13,000",,,58.3,"590,000",1,1,"20 Dec, 2019","20 Dec, 2019",MLV,FALSE
Long March 7A,ACTIVE,China,"13,500","5,500",,60.1,"573,000",0,1,"16 Mar, 2020","16 Mar, 2020",MLV,FALSE
Qased,ACTIVE,Iran,10,,,,,1,1,"22 Apr, 2020","22 Apr, 2020",SLV,FALSE
Long March 5B,ACTIVE,China,"25,000","1,440",,56.7,"878,556",1,1,"5 May, 2020","5 May, 2020",HLV,FALSE
LauncherOne,ACTIVE,United States,500,300,,21.3,"30,000",0,1,"25 May, 2020","25 May, 2020",SLV,FALSE
Kuaizhou 11,ACTIVE,China,"1,500","1,000",,13.6,"20,000",0,1,"10 Jul, 2020","10 Jul, 2020",SLV,FALSE
Saturn I,RETIRED,United States,"9,000",,,55,510000,10,10,"27 Oct, 2020","30 Jul, 1965",MLV,FALSE
